trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-97.84250493043969,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-104.38428894710964,"{0: 13, 1: 4, 2: 6, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-31.531954221229345,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-113.37682841247965,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-76.52467912097234,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-81.39436151924389,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-54.332184456064205,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,13,-28.895177408666285,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-108.36240053991152,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,9,-79.57935815226826,"{0: 10, 1: 3, 2: 0, 3: 2, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-19.15451970590585,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-4.155006591236325,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,2,-97.1110305598543,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-19.137373792518424,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-60.707859126793245,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,6,-47.16790648760011,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,1.7813938958337463,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-85.08457938076499,"{0: 23, 1: 1, 2: 3, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,6,-22.47013661855703,"{0: 12, 1: 0, 2: 0, 3: 2, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,19,10.158687453735237,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,15,-11.99631052303416,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,0,-40.99675874571796,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",35,0,-5.887392425082125,"{0: 33, 1: 1, 2: 0, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,10,26.44984731656614,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,8,13.201642018432187,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,0,18.087641635514974,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,3,11.849552241029166,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,0,-32.200071534609314,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,10,-17.438271776874867,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,14,13.701449030867675,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
