trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.998}",30,0,-169.17103990447347,"{0: 21, 1: 3, 2: 2, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.996004}",25,10,-48.114377340018336,"{0: 9, 1: 1, 2: 4, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.994011992}",30,0,-134.25270987018047,"{0: 16, 1: 4, 2: 8, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.992023968016}",30,0,-142.0324499108032,"{0: 18, 1: 4, 2: 4, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.990039920079968}",20,0,-120.47484610872019,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9880598402398081}",25,0,-112.78288488642299,"{0: 16, 1: 0, 2: 5, 3: 4, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9860837205593285}",20,6,-108.7599337470247,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 2}",1
8,False,"{'a': 0.5, 'e': 0.9841115531182097}",20,0,-145.61016864279415,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9821433300119734}",20,0,-142.49334388762134,"{0: 8, 1: 6, 2: 2, 3: 3, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9801790433519494}",20,0,-126.14845752826936,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9782186852652455}",20,0,-128.26166022851302,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.976262247894715}",30,0,-156.73327888858634,"{0: 16, 1: 4, 2: 6, 3: 3, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9743097233989256}",30,0,-75.91659623202892,"{0: 22, 1: 1, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9723611039521277}",20,0,-18.91721370507545,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9704163817442235}",30,0,-80.62896326753904,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
