trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 99999.99999999999}",30,0,-185.22413669582428,"{0: 15, 1: 2, 2: 11, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 24999.999999999996}",20,8,-2.5598195264300947,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 11111.111111111111}",30,0,-124.50431320761984,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 6249.999999999999}",25,0,-62.929225346281804,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 4000.0}",20,0,-200.9696287436477,"{0: 10, 1: 0, 2: 5, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 2777.777777777778}",20,0,-54.938824891613,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 2040.8163265306118}",20,0,-46.427265564075874,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1562.4999999999998}",20,0,-65.62469000448115,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1234.567901234568}",20,0,-45.344309222860545,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1000.0}",25,0,-88.37956064680591,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 826.4462809917354}",20,0,-114.57792665474815,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 694.4444444444445}",25,4,-24.389009573733485,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 591.7159763313609}",25,0,-151.3594276536233,"{0: 16, 1: 0, 2: 5, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 510.20408163265296}",20,0,-69.32205516642775,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 444.4444444444444}",25,0,-112.64682229720529,"{0: 16, 1: 0, 2: 6, 3: 3, 4: 0}",0
16,False,"{'a': 0.5, 'e': 390.62499999999994}",30,0,-115.85385154726937,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 346.0207612456747}",20,0,-198.36861005034766,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 4}",0
18,False,"{'a': 0.5, 'e': 308.641975308642}",25,0,-138.42679512500297,"{0: 12, 1: 2, 2: 8, 3: 3, 4: 0}",0
19,False,"{'a': 0.5, 'e': 277.00831024930744}",20,0,-167.53675998842255,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 250.0}",25,0,-128.18539329918136,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 226.75736961451244}",20,0,-60.01960308866671,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 206.61157024793386}",25,0,-56.58966414054979,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 189.0359168241966}",20,0,-148.24117395075544,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
24,False,"{'a': 0.5, 'e': 173.61111111111111}",25,12,-5.679523893928861,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 160.0}",20,0,-71.26726328400721,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 147.92899408284023}",30,0,-113.45912038583833,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 137.1742112482853}",20,0,-115.45125087425671,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
28,False,"{'a': 0.5, 'e': 127.55102040816324}",25,0,-176.6292209644442,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
29,False,"{'a': 0.5, 'e': 118.90606420927466}",30,0,-234.74404947709155,"{0: 15, 1: 4, 2: 7, 3: 0, 4: 4}",0
30,False,"{'a': 0.5, 'e': 111.1111111111111}",20,0,-47.79015917678043,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 104.05827263267429}",20,0,-57.37156509635323,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
32,False,"{'a': 0.5, 'e': 97.65624999999999}",25,0,-215.40426632345492,"{0: 13, 1: 1, 2: 6, 3: 2, 4: 3}",0
33,False,"{'a': 0.5, 'e': 91.82736455463728}",20,0,-139.7938541706475,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
34,False,"{'a': 0.5, 'e': 86.50519031141867}",25,0,-161.22968353804026,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
35,False,"{'a': 0.5, 'e': 81.63265306122449}",30,0,-171.08907238666606,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
36,False,"{'a': 0.5, 'e': 77.1604938271605}",20,5,-105.4724660094863,"{0: 7, 1: 3, 2: 2, 3: 2, 4: 1}",1
37,False,"{'a': 0.5, 'e': 73.04601899196493}",20,0,-53.14486015721029,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
38,False,"{'a': 0.5, 'e': 69.25207756232686}",20,0,-60.24945589752843,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
39,False,"{'a': 0.5, 'e': 65.74621959237344}",20,0,-110.73432332702595,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
40,False,"{'a': 0.5, 'e': 62.5}",25,10,-57.91268515185937,"{0: 10, 1: 0, 2: 3, 3: 2, 4: 0}",1
41,False,"{'a': 0.5, 'e': 59.48839976204639}",20,7,-22.449714459944502,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
42,False,"{'a': 0.5, 'e': 56.68934240362811}",20,0,-141.7580637315988,"{0: 8, 1: 5, 2: 5, 3: 0, 4: 2}",0
43,False,"{'a': 0.5, 'e': 54.08328826392644}",20,0,-179.43591807075086,"{0: 6, 1: 2, 2: 9, 3: 2, 4: 1}",0
44,False,"{'a': 0.5, 'e': 51.652892561983464}",20,0,-96.5181002406768,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 49.382716049382715}",25,0,-170.64824825546472,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
46,False,"{'a': 0.5, 'e': 47.25897920604915}",25,0,-108.15528103551301,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
47,False,"{'a': 0.5, 'e': 45.269352648257126}",20,0,-104.75689810474077,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
48,False,"{'a': 0.5, 'e': 43.40277777777778}",30,0,-250.9660781104027,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 5}",0
49,False,"{'a': 0.5, 'e': 41.64931278633902}",35,0,-103.83436910927759,"{0: 22, 1: 5, 2: 6, 3: 2, 4: 0}",0
50,False,"{'a': 0.5, 'e': 40.0}",25,0,-62.39950662094179,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
51,False,"{'a': 0.5, 'e': 38.446751249519416}",25,0,-135.40336003243522,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
52,False,"{'a': 0.5, 'e': 36.98224852071006}",20,0,-105.58628418944274,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
53,False,"{'a': 0.5, 'e': 35.59985760056959}",35,22,-43.6508974244541,"{0: 9, 1: 3, 2: 0, 3: 0, 4: 1}",1
54,False,"{'a': 0.5, 'e': 34.293552812071326}",35,0,-197.68495676666745,"{0: 23, 1: 2, 2: 5, 3: 2, 4: 3}",0
55,False,"{'a': 0.5, 'e': 33.05785123966942}",25,0,-140.63654853961347,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
56,False,"{'a': 0.5, 'e': 31.88775510204081}",20,0,-151.79768125879514,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
57,False,"{'a': 0.5, 'e': 30.778701138811936}",20,0,-102.35479867764276,"{0: 11, 1: 6, 2: 1, 3: 0, 4: 2}",0
58,False,"{'a': 0.5, 'e': 29.726516052318665}",20,0,-84.12608244048114,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 28.72737719046251}",20,0,-110.14411094311029,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
60,False,"{'a': 0.5, 'e': 27.777777777777775}",20,0,-70.3467449967633,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
61,False,"{'a': 0.5, 'e': 26.874496103198066}",20,0,-134.13716220544467,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
62,False,"{'a': 0.5, 'e': 26.014568158168572}",20,0,-92.884543746994,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
63,False,"{'a': 0.5, 'e': 25.195263290501384}",20,0,-36.58312171956977,"{0: 15, 1: 3, 2: 0, 3: 2, 4: 0}",0
64,False,"{'a': 0.5, 'e': 24.414062499999996}",35,17,-57.478398985365224,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 23.668639053254438}",20,0,-74.84642880985825,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
66,False,"{'a': 0.5, 'e': 22.95684113865932}",25,0,-127.90097632691119,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
