trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9980019986673331}",20,0,-10.044133441365789,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9960079893439915}",30,0,-224.93127846256604,"{0: 13, 1: 5, 2: 7, 3: 3, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9940179640539353}",25,0,-133.82599215726117,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9920319148370607}",30,0,-197.44005559263647,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9900498337491681}",20,0,-129.47183061787086,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9880717128619305}",30,0,-142.2890388684884,"{0: 15, 1: 6, 2: 7, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9860975442628619}",20,0,-68.83560882252797,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9841273200552851}",20,14,-12.93430505760951,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.9821610323583008}",25,14,-5.072153142098902,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.9801986733067553}",35,0,-225.81589920149702,"{0: 18, 1: 6, 2: 6, 3: 2, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.97824023505121}",20,0,-59.64786772619709,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9762857097579093}",30,0,-118.11714194395569,"{0: 18, 1: 1, 2: 9, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9743350896087494}",25,0,-136.2448588071787,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9723883668012469}",20,0,-110.0339954656447,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9704455335485082}",25,0,-97.44117936260463,"{0: 17, 1: 1, 2: 3, 3: 4, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9685065820791976}",20,1,-72.71925335547257,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.9665715046375066}",20,0,-130.74162536376707,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9646402934831231}",25,5,-144.9842399589554,"{0: 11, 1: 0, 2: 4, 3: 4, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.9627129408911995}",20,0,-48.6760644638042,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-138.45967354371848,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.9588697805724845}",20,0,-41.336077995827075,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.9569539574730467}",20,0,-111.27948133412583,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.9550419621907147}",20,0,-186.4087459563618,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 4}",0
24,False,"{'a': 0.5, 'e': 0.9531337870775047}",20,0,-47.793666681828796,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.951229424500714}",20,0,-142.29854868408998,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.9493288668428895}",20,0,-63.6441381304855,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.9474321065017983}",25,0,-25.697620207737387,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.9455391358903963}",25,10,-66.94437690564612,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 1}",1
29,False,"{'a': 0.5, 'e': 0.9436499474367985}",20,0,-199.50485590571196,"{0: 9, 1: 2, 2: 4, 3: 2, 4: 3}",0
30,False,"{'a': 0.5, 'e': 0.9417645335842487}",20,15,9.495575904515704,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.9398828867910889}",20,0,-106.48515883479092,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.9380049995307295}",30,0,-77.77508669001023,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.9361308642916188}",20,12,-13.948235041950072,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.9342604735772135}",30,5,-226.38680641795742,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 5}",1
