trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999995000000417}",35,0,-224.046097218766,"{0: 19, 1: 3, 2: 9, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9999980000006666}",20,0,-178.69334139119485,"{0: 8, 1: 3, 2: 5, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.999995500003375}",25,0,-217.99744253111686,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.9999920000106667}",30,0,-136.03705831096107,"{0: 22, 1: 1, 2: 4, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9999875000260416}",30,0,-96.99576215725654,"{0: 19, 1: 1, 2: 9, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.999982000054}",25,0,-218.2037548460956,"{0: 9, 1: 2, 2: 10, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9999755001000415}",25,0,-146.75067224862354,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9999680001706663}",30,0,-147.46819938973528,"{0: 17, 1: 2, 2: 8, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9999595002733742}",25,7,-92.27391114643736,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.9999500004166653}",20,0,-75.77806506880766,"{0: 9, 1: 5, 2: 6, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9999395006100392}",20,0,-71.60045724051719,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9999280008639958}",20,0,-135.02762440832223,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9999155011900349}",35,19,-46.66248040395009,"{0: 9, 1: 4, 2: 2, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.9999020016006562}",30,13,-19.43639130978122,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.9998875021093592}",20,0,-63.225598815245355,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9998720027306434}",20,0,-106.8651280557906,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9998555034800082}",20,0,-76.47857439957482,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9998380043739528}",35,0,-205.9335811258395,"{0: 20, 1: 2, 2: 10, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.9998195054299763}",30,0,-167.23375722605203,"{0: 17, 1: 3, 2: 5, 3: 4, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9998000066665778}",25,0,-78.87028586215249,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.9997795081032559}",20,10,-47.66573178769546,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
22,False,"{'a': 0.5, 'e': 0.9997580097605092}",25,0,-139.72167476260742,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.9997355116598361}",25,0,-216.34026278345578,"{0: 12, 1: 0, 2: 9, 3: 1, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.9997120138237345}",25,0,-83.54359791994175,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.9996875162757026}",20,0,-107.97439753467441,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.9996620190402377}",25,0,-120.29765380588164,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.9996355221428369}",30,0,-81.17433258346189,"{0: 21, 1: 1, 2: 6, 3: 2, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.9996080256099974}",35,0,-83.57019809673864,"{0: 26, 1: 1, 2: 7, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.9995795294692156}",20,0,-90.4089364840934,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.9995500337489875}",20,0,-172.6259154312633,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 3}",0
31,False,"{'a': 0.5, 'e': 0.999519538478809}",25,0,-154.99306327879341,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.9994880436891754}",30,7,-130.15538844073913,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 2}",1
33,False,"{'a': 0.5, 'e': 0.9994555494115813}",25,0,-88.73062854619744,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.9994220556785212}",25,0,-129.6703443457807,"{0: 12, 1: 3, 2: 9, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.9993875625234886}",30,0,-121.30546398156528,"{0: 17, 1: 4, 2: 8, 3: 0, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.9993520699809768}",20,3,-41.559773579574156,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.9993155780864782}",30,0,-192.20771377985727,"{0: 16, 1: 3, 2: 8, 3: 0, 4: 3}",0
38,False,"{'a': 0.5, 'e': 0.9992780868764849}",25,0,-108.33391395746737,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.999239596388488}",20,0,-72.60093256817592,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.9992001066609779}",25,0,-172.8680662336611,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
41,False,"{'a': 0.5, 'e': 0.9991596177334445}",20,0,-122.8332833172509,"{0: 8, 1: 3, 2: 8, 3: 0, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.9991181296463766}",25,0,-65.87710035480444,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.9990756424412622}",20,0,-82.28456536922377,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.9990321561605888}",20,0,-92.91400218965461,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.9989876708478425}",20,0,-55.492316234121674,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.9989421865475084}",20,0,-111.03466193639645,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.9988957033050712}",25,0,-167.4856013231226,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.9988482211670138}",20,0,-97.45243299302271,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.9987997401808185}",25,9,-140.16750894135475,"{0: 6, 1: 3, 2: 5, 3: 0, 4: 2}",1
50,False,"{'a': 0.5, 'e': 0.9987502603949663}",20,0,-101.39875158040789,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.9986997818589368}",20,0,-30.05511543087901,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.9986483046232089}",25,0,-114.87108898980355,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.9985958287392593}",25,0,-53.22487545690302,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.9985423542595644}",25,0,-155.1917169740535,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
