trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.9900498337491681}",25,0,-140.0510867533566,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.1, 'e': 0.9801986733067553}",25,15,-7.4239399859759505,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
3,False,"{'a': 0.1, 'e': 0.9704455335485082}",20,0,-30.901042946005386,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.1, 'e': 0.9607894391523232}",20,0,-68.14820130544777,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.1, 'e': 0.951229424500714}",30,0,-29.115413759878564,"{0: 24, 1: 1, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.1, 'e': 0.9417645335842487}",25,8,-100.0725761455302,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 1}",1
7,False,"{'a': 0.1, 'e': 0.9323938199059483}",20,0,-70.9659470127045,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.1, 'e': 0.9231163463866358}",20,0,-175.56069308427746,"{0: 8, 1: 1, 2: 8, 3: 1, 4: 2}",0
9,False,"{'a': 0.1, 'e': 0.9139311852712282}",20,0,-67.50314865762451,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
10,False,"{'a': 0.1, 'e': 0.9048374180359595}",25,0,-110.85246125951345,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.1, 'e': 0.8958341352965282}",25,0,-175.5761514331608,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 3}",0
12,False,"{'a': 0.1, 'e': 0.8869204367171575}",30,1,-38.063697266035916,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 0}",1
13,False,"{'a': 0.1, 'e': 0.8780954309205613}",25,8,-76.02823889708277,"{0: 10, 1: 3, 2: 2, 3: 1, 4: 1}",1
14,False,"{'a': 0.1, 'e': 0.8693582353988059}",20,0,-84.44193144032349,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.1, 'e': 0.8607079764250578}",20,11,-80.93697764442972,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 2}",1
16,False,"{'a': 0.1, 'e': 0.8521437889662113}",20,0,-124.95411333384992,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 2}",0
17,False,"{'a': 0.1, 'e': 0.8436648165963837}",20,0,-77.49899202429864,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.1, 'e': 0.835270211411272}",20,0,-62.43831149649067,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.1, 'e': 0.8269591339433623}",30,0,-162.30661477940373,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
20,False,"{'a': 0.1, 'e': 0.8187307530779818}",25,0,-156.66168404920313,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
21,False,"{'a': 0.1, 'e': 0.8105842459701871}",20,0,-62.6269759334218,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
22,False,"{'a': 0.1, 'e': 0.8025187979624785}",20,0,-20.118681310794003,"{0: 15, 1: 4, 2: 0, 3: 1, 4: 0}",0
23,False,"{'a': 0.1, 'e': 0.794533602503334}",20,0,-99.68335568314015,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
24,False,"{'a': 0.1, 'e': 0.7866278610665535}",20,0,-17.678108774016355,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
25,False,"{'a': 0.1, 'e': 0.7788007830714049}",25,0,-69.30087635244493,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
26,False,"{'a': 0.1, 'e': 0.7710515858035663}",20,4,-31.582392101308656,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
27,False,"{'a': 0.1, 'e': 0.7633794943368531}",25,0,-74.91020967787341,"{0: 16, 1: 5, 2: 1, 3: 3, 4: 0}",0
28,False,"{'a': 0.1, 'e': 0.7557837414557255}",25,6,-3.425125613026399,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
29,False,"{'a': 0.1, 'e': 0.7482635675785653}",20,0,-60.99567422365671,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
30,False,"{'a': 0.1, 'e': 0.7408182206817179}",20,0,-14.03304994547863,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
31,False,"{'a': 0.1, 'e': 0.7334469562242892}",25,0,-128.60137497153957,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 2}",0
32,False,"{'a': 0.1, 'e': 0.7261490370736909}",20,0,-100.88058819979537,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
33,False,"{'a': 0.1, 'e': 0.7189237334319262}",20,0,-20.597173233711246,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
34,False,"{'a': 0.1, 'e': 0.7117703227626097}",35,15,-93.01471528976725,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",1
35,False,"{'a': 0.1, 'e': 0.7046880897187134}",30,0,-142.07394303863583,"{0: 23, 1: 1, 2: 2, 3: 1, 4: 3}",0
36,False,"{'a': 0.1, 'e': 0.697676326071031}",20,0,-123.0418799362827,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
37,False,"{'a': 0.1, 'e': 0.6907343306373547}",20,4,-41.3005530689913,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
38,False,"{'a': 0.1, 'e': 0.6838614092123558}",35,13,-146.06782825623287,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 3}",1
39,False,"{'a': 0.1, 'e': 0.6770568744981647}",25,0,-113.00419668920796,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
40,False,"{'a': 0.1, 'e': 0.6703200460356393}",25,0,-99.39032453235646,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
41,False,"{'a': 0.1, 'e': 0.6636502501363194}",20,0,-36.851339514293045,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
42,False,"{'a': 0.1, 'e': 0.6570468198150567}",25,0,-141.16953117323575,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
43,False,"{'a': 0.1, 'e': 0.6505090947233165}",25,0,-33.09739646152765,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
44,False,"{'a': 0.1, 'e': 0.6440364210831414}",30,8,-55.29884190734504,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 1}",1
45,False,"{'a': 0.1, 'e': 0.6376281516217733}",25,9,13.017846305059383,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.1, 'e': 0.631283645506926}",20,0,-86.07688069297015,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
47,False,"{'a': 0.1, 'e': 0.6250022682827008}",20,0,12.5323730262062,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
48,False,"{'a': 0.1, 'e': 0.6187833918061408}",20,0,-70.6438603666941,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
49,False,"{'a': 0.1, 'e': 0.6126263941844161}",25,14,-20.896541318815174,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
50,False,"{'a': 0.1, 'e': 0.6065306597126334}",25,15,-55.75272742920228,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 1}",1
51,False,"{'a': 0.1, 'e': 0.6004955788122659}",30,0,-73.47075347645992,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
