trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-131.8265196346807,"{0: 12, 1: 6, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-102.54888579871762,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-94.37202097783296,"{0: 21, 1: 0, 2: 8, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.48318416029026,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.18450639639636,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,16,-44.269486243852484,"{0: 10, 1: 0, 2: 2, 3: 2, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.33897580479254,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-128.45032803546377,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.95947903403378,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.07281514819064,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,2,-154.47843997027167,"{0: 17, 1: 2, 2: 5, 3: 2, 4: 2}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-25.188173609994823,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-173.91167764814404,"{0: 11, 1: 2, 2: 10, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-63.371039712689445,"{0: 16, 1: 6, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-76.1913044811676,"{0: 15, 1: 6, 2: 2, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-29.114507868311616,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.66372342953354,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.30256922192775,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.23575656529668,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.08750040729319,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,8,-117.76314887417641,"{0: 8, 1: 2, 2: 4, 3: 2, 4: 1}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-98.71458143391763,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-181.1699723211421,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",35,0,-148.46132850664503,"{0: 20, 1: 4, 2: 9, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-97.90572656276247,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,10,-94.67914934177699,"{0: 4, 1: 2, 2: 1, 3: 2, 4: 1}",1
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-65.40260264666172,"{0: 19, 1: 3, 2: 8, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-56.81968346121427,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,8,-37.654014251513985,"{0: 13, 1: 3, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0.5, 'e': 1.0}",30,10,-93.64709040469198,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",1
